Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Postal Code,Product ID,Sales,Quantity,Discount,Profit
64,CA-2021-135545,24-11-2021,30-11-2021,Standard Class,KM-16720,Consumer,90004,OFF-BI-10001078,25824,6,2,93612
65,CA-2021-135545,24-11-2021,30-11-2021,Standard Class,KM-16720,Consumer,90004,OFF-PA-10003892,14673,3,0,689631
66,CA-2021-135545,24-11-2021,30-11-2021,Standard Class,KM-16720,Consumer,90004,FUR-FU-10000397,7976,4,0,223328
67,US-2021-164175,30-04-2021,05-05-2021,Standard Class,PS-18970,Home Office,60610,FUR-CH-10001146,213115,5,3,-152225
68,CA-2020-106376,05-12-2020,10-12-2020,Standard Class,BS-11590,Corporate,85234,OFF-AR-10002671,1113024,8,2,1113024
69,CA-2020-106376,05-12-2020,10-12-2020,Standard Class,BS-11590,Corporate,85234,TEC-PH-10002726,167968,4,2,62988
70,CA-2022-119823,04-06-2022,06-06-2022,First Class,KD-16270,Consumer,22153,OFF-PA-10000482,7588,2,0,356636
71,CA-2022-106075,18-09-2022,23-09-2022,Standard Class,HM-14980,Consumer,10009,OFF-BI-10004654,4616,1,2,1731
72,CA-2023-114440,14-09-2023,17-09-2023,Second Class,TB-21520,Consumer,49201,OFF-PA-10004675,1905,3,0,8763
73,US-2021-134026,26-04-2021,02-05-2021,Standard Class,JE-15745,Consumer,38109,FUR-CH-10000513,831936,8,2,-1143912
74,US-2021-134026,26-04-2021,02-05-2021,Standard Class,JE-15745,Consumer,38109,FUR-FU-10003708,9704,2,2,1213
75,US-2021-134026,26-04-2021,02-05-2021,Standard Class,JE-15745,Consumer,38109,OFF-ST-10004123,72784,1,2,-18196
76,US-2023-118038,09-12-2023,11-12-2023,First Class,KB-16600,Corporate,77041,OFF-BI-10004182,1248,3,8,-19344
77,US-2023-118038,09-12-2023,11-12-2023,First Class,KB-16600,Corporate,77041,FUR-FU-10000260,9708,3,6,-58248
78,US-2023-118038,09-12-2023,11-12-2023,First Class,KB-16600,Corporate,77041,OFF-ST-10000615,2724,3,2,2724
79,US-2020-147606,26-11-2020,01-12-2020,Second Class,JE-15745,Consumer,77070,FUR-FU-10003194,193,5,6,-14475
80,CA-2022-127208,12-06-2022,15-06-2022,First Class,SC-20770,Corporate,35601,OFF-AP-10002118,20816,1,0,562032
81,CA-2022-127208,12-06-2022,15-06-2022,First Class,SC-20770,Corporate,35601,OFF-BI-10002309,1674,3,0,80352
82,CA-2020-139451,12-10-2020,16-10-2020,Standard Class,DN-13690,Consumer,94122,OFF-AR-10002053,149,5,0,4172
83,CA-2020-139451,12-10-2020,16-10-2020,Standard Class,DN-13690,Consumer,94122,OFF-ST-10002370,2139,1,0,62031
84,CA-2021-149734,03-09-2021,08-09-2021,Standard Class,JC-16105,Corporate,27707,OFF-EN-10000927,200984,7,2,628075
85,US-2023-119662,13-11-2023,16-11-2023,First Class,CS-12400,Home Office,60623,OFF-ST-10003656,230376,3,2,-489549
86,CA-2023-140088,28-05-2023,30-05-2023,Second Class,PO-18865,Consumer,29203,FUR-CH-10000863,30196,2,0,332156
87,CA-2023-155558,26-10-2023,02-11-2023,Standard Class,PG-18895,Consumer,55901,TEC-AC-10001998,1999,1,0,67966
88,CA-2023-155558,26-10-2023,02-11-2023,Standard Class,PG-18895,Consumer,55901,OFF-LA-10000134,616,2,0,29568
89,CA-2022-159695,05-04-2022,10-04-2022,Second Class,GM-14455,Home Office,77095,OFF-ST-10003442,158368,7,2,138572
90,CA-2022-109806,17-09-2022,22-09-2022,Standard Class,JS-15685,Corporate,90036,OFF-AR-10004930,201,3,0,6633
91,CA-2022-109806,17-09-2022,22-09-2022,Standard Class,JS-15685,Corporate,90036,TEC-PH-10004093,73584,2,2,82782
92,CA-2022-109806,17-09-2022,22-09-2022,Standard Class,JS-15685,Corporate,90036,OFF-PA-10000304,648,1,0,31104
93,CA-2021-149587,31-01-2021,05-02-2021,Second Class,KB-16315,Consumer,55407,OFF-PA-10003177,1296,2,0,62208
94,CA-2021-149587,31-01-2021,05-02-2021,Second Class,KB-16315,Consumer,55407,FUR-FU-10003799,5334,3,0,165354
95,CA-2021-149587,31-01-2021,05-02-2021,Second Class,KB-16315,Consumer,55407,OFF-BI-10002852,3296,2,0,161504
96,US-2023-109484,06-11-2023,12-11-2023,Standard Class,RB-19705,Home Office,97206,OFF-BI-10004738,5682,1,7,-3788
97,CA-2023-161018,09-11-2023,11-11-2023,Second Class,PN-18775,Home Office,10009,FUR-FU-10000629,9653,7,0,405426
98,CA-2023-157833,17-06-2023,20-06-2023,First Class,KD-16345,Consumer,94122,OFF-BI-10001721,51312,3,2,179592
99,CA-2022-149223,06-09-2022,11-09-2022,Standard Class,ER-13855,Corporate,55106,OFF-AP-10000358,7788,6,0,225852
100,CA-2022-158568,29-08-2022,02-09-2022,Standard Class,RB-19465,Home Office,60610,OFF-PA-10003256,64624,7,2,226184
101,CA-2022-158568,29-08-2022,02-09-2022,Standard Class,RB-19465,Home Office,60610,TEC-AC-10001767,95976,3,2,-107973
102,CA-2022-158568,29-08-2022,02-09-2022,Standard Class,RB-19465,Home Office,60610,OFF-BI-10002609,1788,3,8,-30396
103,CA-2022-129903,01-12-2022,04-12-2022,Second Class,GZ-14470,Consumer,55901,OFF-PA-10004040,2392,4,0,117208
104,US-2021-156867,13-11-2021,17-11-2021,Standard Class,LC-16870,Consumer,80013,TEC-AC-10001552,238896,6,2,-268758
105,US-2021-156867,13-11-2021,17-11-2021,Standard Class,LC-16870,Consumer,80013,FUR-FU-10004006,10236,3,2,-38385
106,US-2021-156867,13-11-2021,17-11-2021,Standard Class,LC-16870,Consumer,80013,OFF-BI-10002794,36882,3,7,-258174
107,CA-2023-119004,23-11-2023,28-11-2023,Standard Class,JM-15250,Consumer,28205,TEC-AC-10003499,74112,8,2,176016
108,CA-2023-119004,23-11-2023,28-11-2023,Standard Class,JM-15250,Consumer,28205,TEC-PH-10002844,27992,1,2,20994
109,CA-2023-119004,23-11-2023,28-11-2023,Standard Class,JM-15250,Consumer,28205,OFF-AR-10000390,3304,1,2,10738
110,CA-2021-129476,15-10-2021,20-10-2021,Standard Class,PA-19060,Home Office,60462,TEC-AC-10000844,33996,5,2,67992
111,CA-2023-146780,25-12-2023,30-12-2023,Standard Class,CV-12805,Corporate,10035,FUR-FU-10001934,4196,2,0,109096
112,CA-2022-128867,03-11-2022,10-11-2022,Standard Class,CL-12565,Consumer,50322,OFF-AR-10000380,7596,2,0,22788
113,CA-2022-128867,03-11-2022,10-11-2022,Standard Class,CL-12565,Consumer,50322,OFF-BI-10003981,2724,6,0,133476
114,CA-2020-115259,25-08-2020,27-08-2020,Second Class,RC-19960,Consumer,43229,OFF-FA-10000621,40096,14,2,145348
115,CA-2020-115259,25-08-2020,27-08-2020,Second Class,RC-19960,Consumer,43229,OFF-EN-10002600,472,2,2,1652
116,CA-2020-115259,25-08-2020,27-08-2020,Second Class,RC-19960,Consumer,43229,OFF-PA-10004965,23976,3,2,74925
117,CA-2020-115259,25-08-2020,27-08-2020,Second Class,RC-19960,Consumer,43229,OFF-EN-10002504,130464,6,2,440316
118,CA-2021-110457,02-03-2021,06-03-2021,Standard Class,DK-13090,Consumer,98103,FUR-TA-10001768,78753,3,0,1653813
119,US-2021-136476,05-04-2021,10-04-2021,Standard Class,GG-14650,Corporate,37620,OFF-BI-10003650,157794,1,7,-1157156
120,CA-2022-103730,12-06-2022,15-06-2022,First Class,SC-20725,Consumer,19805,FUR-FU-10002157,4704,3,0,183456
121,CA-2022-103730,12-06-2022,15-06-2022,First Class,SC-20725,Consumer,19805,OFF-BI-10003910,3084,4,0,13878
122,CA-2022-103730,12-06-2022,15-06-2022,First Class,SC-20725,Consumer,19805,OFF-ST-10000777,22656,6,0,634368
123,CA-2022-103730,12-06-2022,15-06-2022,First Class,SC-20725,Consumer,19805,OFF-EN-10002500,11502,9,0,51759
124,CA-2022-103730,12-06-2022,15-06-2022,First Class,SC-20725,Consumer,19805,TEC-PH-10003875,6804,7,0,197316
125,US-2020-152030,26-12-2020,28-12-2020,Second Class,AD-10180,Home Office,77041,FUR-CH-10004063,600558,3,3,-85794
126,US-2020-134614,20-09-2020,25-09-2020,Standard Class,PF-19165,Consumer,61701,FUR-TA-10004534,6177,6,5,-407682
127,US-2023-107272,05-11-2023,12-11-2023,Standard Class,TS-21610,Consumer,85023,OFF-BI-10003274,2388,2,7,-18308
128,US-2023-107272,05-11-2023,12-11-2023,Standard Class,TS-21610,Consumer,85023,OFF-ST-10002974,243992,7,2,30499
129,US-2022-125969,06-11-2022,10-11-2022,Second Class,LS-16975,Home Office,90004,FUR-CH-10001146,81424,2,2,-91602
130,US-2022-125969,06-11-2022,10-11-2022,Second Class,LS-16975,Home Office,90004,FUR-FU-10003773,23856,3,0,262416
131,US-2023-164147,02-02-2023,05-02-2023,First Class,DW-13585,Corporate,43229,TEC-PH-10002293,5997,5,4,-11994
132,US-2023-164147,02-02-2023,05-02-2023,First Class,DW-13585,Corporate,43229,OFF-PA-10002377,78304,2,2,29364
133,US-2023-164147,02-02-2023,05-02-2023,First Class,DW-13585,Corporate,43229,OFF-FA-10002780,21456,9,2,69732
134,CA-2022-145583,13-10-2022,19-10-2022,Standard Class,LC-16885,Consumer,95661,OFF-PA-10001804,2004,3,0,96192
135,CA-2022-145583,13-10-2022,19-10-2022,Standard Class,LC-16885,Consumer,95661,OFF-PA-10001736,3544,1,0,166568
136,CA-2022-145583,13-10-2022,19-10-2022,Standard Class,LC-16885,Consumer,95661,OFF-AR-10001149,1152,4,0,3456
137,CA-2022-145583,13-10-2022,19-10-2022,Standard Class,LC-16885,Consumer,95661,OFF-FA-10002988,402,2,0,19698
138,CA-2022-145583,13-10-2022,19-10-2022,Standard Class,LC-16885,Consumer,95661,OFF-BI-10004781,76176,3,2,266616
139,CA-2022-145583,13-10-2022,19-10-2022,Standard Class,LC-16885,Consumer,95661,OFF-SU-10001218,6588,6,0,184464
140,CA-2022-145583,13-10-2022,19-10-2022,Standard Class,LC-16885,Consumer,95661,FUR-FU-10001706,4312,14,0,206976
141,CA-2022-110366,05-09-2022,07-09-2022,Second Class,JD-15895,Corporate,19140,FUR-FU-10004848,828,2,2,1035
142,CA-2023-106180,18-09-2023,23-09-2023,Standard Class,SH-19975,Corporate,94122,OFF-AR-10000940,882,3,0,23814
143,CA-2023-106180,18-09-2023,23-09-2023,Standard Class,SH-19975,Corporate,94122,OFF-EN-10004030,1086,3,0,51042
144,CA-2023-106180,18-09-2023,23-09-2023,Standard Class,SH-19975,Corporate,94122,OFF-PA-10004327,1437,3,0,68976
145,CA-2023-155376,22-12-2023,27-12-2023,Standard Class,SG-20080,Consumer,64055,OFF-AP-10001058,83943,3,0,2182518
146,CA-2021-110744,07-09-2021,12-09-2021,Standard Class,HA-14920,Consumer,91104,OFF-ST-10003656,67193,7,0,201579
147,CA-2020-110072,22-10-2020,28-10-2020,Standard Class,MG-17680,Home Office,43055,FUR-FU-10000521,93888,4,2,129096
148,CA-2022-114489,05-12-2022,09-12-2022,Standard Class,JE-16165,Corporate,53132,TEC-PH-10000215,38445,11,0,1038015
149,CA-2022-114489,05-12-2022,09-12-2022,Standard Class,JE-16165,Corporate,53132,TEC-PH-10001448,14997,3,0,59988
150,CA-2022-114489,05-12-2022,09-12-2022,Standard Class,JE-16165,Corporate,53132,FUR-CH-10000454,195184,8,0,585552
151,CA-2022-114489,05-12-2022,09-12-2022,Standard Class,JE-16165,Corporate,53132,OFF-BI-10002735,17155,5,0,806285
152,CA-2022-158834,13-03-2022,16-03-2022,First Class,TW-21025,Home Office,85254,OFF-AP-10000326,15792,5,2,17766
153,CA-2022-158834,13-03-2022,16-03-2022,First Class,TW-21025,Home Office,85254,TEC-PH-10001254,203184,2,2,152388
154,CA-2021-124919,31-05-2021,02-06-2021,First Class,SP-20650,Corporate,95123,OFF-PA-10001950,5838,7,0,26271
155,CA-2021-124919,31-05-2021,02-06-2021,First Class,SP-20650,Corporate,95123,OFF-PA-10002254,10552,4,0,485392
156,CA-2021-124919,31-05-2021,02-06-2021,First Class,SP-20650,Corporate,95123,OFF-ST-10001590,8088,6,0,210288
157,CA-2021-118948,28-05-2021,03-06-2021,Standard Class,NK-18490,Home Office,98105,OFF-AR-10001547,663,3,0,17901
158,CA-2020-104269,01-03-2020,06-03-2020,Second Class,DB-13060,Consumer,98115,FUR-CH-10004063,457568,2,2,514764
159,CA-2022-114104,20-11-2022,24-11-2022,Standard Class,NP-18670,Consumer,73034,OFF-LA-10002475,1462,2,0,68714
160,CA-2022-114104,20-11-2022,24-11-2022,Standard Class,NP-18670,Consumer,73034,TEC-PH-10004536,94493,7,0,2362325
161,CA-2022-162733,11-05-2022,12-05-2022,First Class,TT-21070,Consumer,90045,OFF-PA-10002751,598,1,0,2691
162,CA-2021-119697,28-12-2021,31-12-2021,Second Class,EM-13960,Consumer,19134,TEC-AC-10003657,54384,2,2,13596
163,CA-2022-154508,16-11-2022,20-11-2022,Standard Class,RD-19900,Consumer,88220,OFF-EN-10001990,284,5,0,13348
164,CA-2022-113817,07-11-2022,11-11-2022,Standard Class,MJ-17740,Consumer,98115,OFF-BI-10004002,2768,2,2,9688
165,CA-2020-139892,08-09-2020,12-09-2020,Standard Class,BM-11140,Consumer,78207,OFF-AR-10004441,9936,3,2,27324
166,CA-2020-139892,08-09-2020,12-09-2020,Standard Class,BM-11140,Consumer,78207,TEC-MA-10000822,8159952,8,4,-1359992
167,CA-2020-139892,08-09-2020,12-09-2020,Standard Class,BM-11140,Consumer,78207,OFF-ST-10000991,275928,3,2,-586347
168,CA-2020-139892,08-09-2020,12-09-2020,Standard Class,BM-11140,Consumer,78207,FUR-CH-10004287,174006,9,3,-24858
169,CA-2020-139892,08-09-2020,12-09-2020,Standard Class,BM-11140,Consumer,78207,OFF-AR-10002656,32064,6,2,68136
170,CA-2020-139892,08-09-2020,12-09-2020,Standard Class,BM-11140,Consumer,78207,OFF-AP-10002518,17798,5,8,-453849
171,CA-2020-139892,08-09-2020,12-09-2020,Standard Class,BM-11140,Consumer,78207,TEC-PH-10003931,143976,3,2,89985
172,CA-2020-118962,05-08-2020,09-08-2020,Standard Class,CS-12130,Consumer,90004,OFF-PA-10000659,2094,3,0,98418
173,CA-2020-118962,05-08-2020,09-08-2020,Standard Class,CS-12130,Consumer,90004,OFF-PA-10001144,11096,2,0,532608
174,CA-2020-118962,05-08-2020,09-08-2020,Standard Class,CS-12130,Consumer,90004,FUR-CH-10003817,340144,7,2,21259
175,US-2020-100853,14-09-2020,19-09-2020,Standard Class,JB-15400,Corporate,60623,OFF-AP-10000891,52448,2,8,-13112
176,US-2020-100853,14-09-2020,19-09-2020,Standard Class,JB-15400,Corporate,60623,OFF-LA-10003148,2016,4,2,6552
177,US-2023-152366,21-04-2023,25-04-2023,Second Class,SJ-20500,Consumer,77036,OFF-AP-10002684,97264,4,8,-24316
178,US-2021-101511,21-11-2021,23-11-2021,Second Class,JE-15745,Consumer,43055,FUR-CH-10004698,396802,7,3,-113372
179,US-2021-101511,21-11-2021,23-11-2021,Second Class,JE-15745,Consumer,43055,OFF-SU-10002189,1588,5,2,-37715
180,CA-2021-137225,15-12-2021,19-12-2021,Standard Class,JK-15640,Home Office,10009,OFF-AR-10001940,328,1,0,14104
181,CA-2020-166191,05-12-2020,09-12-2020,Second Class,DK-13150,Corporate,62521,OFF-ST-10003455,24816,2,2,18612
182,CA-2020-166191,05-12-2020,09-12-2020,Second Class,DK-13150,Corporate,62521,TEC-AC-10004659,408744,7,2,766395
183,CA-2020-158274,19-11-2020,24-11-2020,Second Class,RM-19675,Home Office,71203,TEC-PH-10003273,50396,4,0,1310296
184,CA-2020-158274,19-11-2020,24-11-2020,Second Class,RM-19675,Home Office,71203,TEC-PH-10004896,14995,5,0,41986
185,CA-2020-158274,19-11-2020,24-11-2020,Second Class,RM-19675,Home Office,71203,TEC-AC-10002345,29,2,0,725
186,CA-2022-105018,28-11-2022,02-12-2022,Standard Class,SK-19990,Consumer,6824,OFF-BI-10001890,716,2,0,34368
187,CA-2020-123260,26-08-2020,30-08-2020,Standard Class,FM-14290,Home Office,90032,TEC-AC-10002323,1768,8,0,22984
188,CA-2022-157000,16-07-2022,22-07-2022,Standard Class,AM-10360,Corporate,75051,OFF-ST-10001328,37224,3,2,37224
189,CA-2022-157000,16-07-2022,22-07-2022,Standard Class,AM-10360,Corporate,75051,OFF-PA-10001950,20016,3,2,6255
190,CA-2021-102281,12-10-2021,14-10-2021,First Class,MP-17470,Home Office,10035,FUR-BO-10002613,899136,4,2,112392
191,CA-2021-102281,12-10-2021,14-10-2021,First Class,MP-17470,Home Office,10035,TEC-PH-10001552,7176,6,0,200928
192,CA-2021-102281,12-10-2021,14-10-2021,First Class,MP-17470,Home Office,10035,OFF-PA-10000061,5184,8,0,248832
193,CA-2021-102281,12-10-2021,14-10-2021,First Class,MP-17470,Home Office,10035,FUR-BO-10002545,626352,3,2,469764
194,CA-2021-102281,12-10-2021,14-10-2021,First Class,MP-17470,Home Office,10035,OFF-AR-10003514,199,5,0,6567
195,CA-2021-131457,31-10-2021,06-11-2021,Standard Class,MZ-17515,Corporate,92374,OFF-EN-10001509,1428,7,0,67116
196,CA-2020-140004,21-03-2020,25-03-2020,Standard Class,CB-12025,Consumer,45011,OFF-AR-10004685,7408,2,2,12038
197,CA-2020-140004,21-03-2020,25-03-2020,Standard Class,CB-12025,Consumer,45011,OFF-AR-10004027,6048,3,2,15876
198,CA-2023-107720,06-11-2023,13-11-2023,Standard Class,VM-21685,Home Office,7090,OFF-ST-10001414,4626,3,0,120276
199,US-2023-124303,06-07-2023,13-07-2023,Standard Class,FH-14365,Corporate,19120,OFF-BI-10000343,2946,2,7,-22586
200,US-2023-124303,06-07-2023,13-07-2023,Standard Class,FH-14365,Corporate,19120,OFF-PA-10002749,16056,3,2,58203
201,CA-2023-105074,24-06-2023,29-06-2023,Standard Class,MB-17305,Consumer,44312,OFF-PA-10002666,21744,3,2,6795
202,CA-2020-133690,03-08-2020,05-08-2020,First Class,BS-11755,Consumer,80219,FUR-TA-10004289,21875,2,5,-161875
203,CA-2020-133690,03-08-2020,05-08-2020,First Class,BS-11755,Consumer,80219,OFF-AP-10003622,26,1,2,2925
204,US-2023-116701,17-12-2023,21-12-2023,Second Class,LC-17140,Consumer,75220,OFF-AP-10003217,66284,2,8,-1789668
205,CA-2023-126382,03-06-2023,07-06-2023,Standard Class,HK-14890,Corporate,37064,FUR-FU-10002960,35168,7,2,96712
206,CA-2023-108329,09-12-2023,14-12-2023,Standard Class,LE-16810,Consumer,90604,TEC-PH-10001918,444768,4,2,444768
207,CA-2023-135860,01-12-2023,07-12-2023,Standard Class,JH-15985,Consumer,48601,OFF-ST-10000642,8392,4,0,58744
208,CA-2023-135860,01-12-2023,07-12-2023,Standard Class,JH-15985,Consumer,48601,TEC-PH-10001700,13198,2,0,356346
209,CA-2023-135860,01-12-2023,07-12-2023,Standard Class,JH-15985,Consumer,48601,OFF-BI-10003274,1592,4,0,74824
210,CA-2023-135860,01-12-2023,07-12-2023,Standard Class,JH-15985,Consumer,48601,OFF-FA-10000134,5229,9,0,162099
211,CA-2023-135860,01-12-2023,07-12-2023,Standard Class,JH-15985,Consumer,48601,OFF-ST-10001522,9199,1,0,36796
212,CA-2021-101007,09-02-2021,13-02-2021,Second Class,MS-17980,Corporate,75220,TEC-AC-10001266,208,2,2,65
